2026-04-03T04:18:10.521584742Z [inf]  Starting Container
2026-04-03T04:20:50.504895154Z [err]  100.64.0.10 - - [03/Apr/2026 04:20:45] "[31m[1mGET /api/workflows/run/0aec1525e25e4cda/events?token=eyJhbGciOiAiSFMyNTYiLCAidHlwIjogIkpXVCJ9.eyJzdWIiOiAxLCAiZW1haWwiOiAicmV2aW9yYUBkZXYuY29tIiwgIm5hbWUiOiAicmV2aW9yYSIsICJleHAiOiAxNzc1NDQ3NjU4LjAwNzAyLCAiaWF0IjogMTc3NTE4ODQ1OC4wMDcwMjI2fQ.UOc9-hNjsIhjo_ZE95aGL5lk_PqLPi0GdopV8mDzOF4 HTTP/1.1[0m" 401 -
2026-04-03T04:20:59.084333597Z [err]  100.64.0.3 - - [03/Apr/2026 04:20:58] "POST /api/workflows/run HTTP/1.1" 200 -
2026-04-03T04:20:59.084341212Z [err]  Traceback (most recent call last):
2026-04-03T04:20:59.084347883Z [err]    File "/app/executor.py", line 159, in execute_workflow
2026-04-03T04:20:59.084355423Z [err]      node_outputs = node.execute(node_inputs, properties, context)
2026-04-03T04:20:59.084361789Z [err]                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-04-03T04:20:59.084372752Z [err]    File "/app/nodes/image_gen_node.py", line 140, in execute
2026-04-03T04:20:59.084377587Z [err]      raise ValueError(f"Leonardo API error: {error_data.get('error', resp.status_code)}")
2026-04-03T04:20:59.084395757Z [err]  ValueError: Leonardo API error: Unexpected variable num_images
2026-04-03T04:20:59.084401341Z [err]  Traceback (most recent call last):
2026-04-03T04:20:59.084406814Z [err]    File "/app/executor.py", line 156, in execute_workflow
2026-04-03T04:20:59.084411306Z [err]      raise ValueError(validation_err)
2026-04-03T04:20:59.084416124Z [err]  ValueError: Input 'file' is required
2026-04-03T04:20:59.084420446Z [err]  100.64.0.6 - - [03/Apr/2026 04:20:58] "[31m[1mGET /api/workflows/run/fc546d926e324bc6/events?token=eyJhbGciOiAiSFMyNTYiLCAidHlwIjogIkpXVCJ9.eyJzdWIiOiAxLCAiZW1haWwiOiAicmV2aW9yYUBkZXYuY29tIiwgIm5hbWUiOiAicmV2aW9yYSIsICJleHAiOiAxNzc1NDQ3NjU4LjAwNzAyLCAiaWF0IjogMTc3NTE4ODQ1OC4wMDcwMjI2fQ.UOc9-hNjsIhjo_ZE95aGL5lk_PqLPi0GdopV8mDzOF4 HTTP/1.1[0m" 401 -
2026-04-03T04:21:03.826013315Z [err]  100.64.0.4 - - [03/Apr/2026 04:21:03] "[36mGET /assets/index-DXGz6VdC.css HTTP/1.1[0m" 304 -
